№,名前,英語名,HP,攻撃,防御,特攻,特防,素早,合計種族値,タイプ1,タイプ2,特性1特性2(隠し特性),高さ,重さ,捕獲率,性別,経験値,初期なつき度,努力値,タマゴ,孵化,成長,雄率
1,フシギダネ,Bulbasaur,45,49,49,65,65,45,318,くさ,どく,"しんりょく
(ようりょくそ)",0.7,6.9,45,7:1,64,70,特攻+1,"怪獣
植物",5355,106万,0.875
2,フシギソウ,Ivysaur,60,62,63,80,80,60,405,くさ,どく,"しんりょく
(ようりょくそ)",1.0,13.0,45,7:1,142,70,"特攻+1
特防+1","怪獣
植物",5355,106万,0.875
3,フシギバナ,Venusaur,80,82,83,100,100,80,525,くさ,どく,"しんりょく
(ようりょくそ)",2.0,100.0,45,7:1,236,70,"特攻+2
特防+1","怪獣
植物",5355,106万,0.875
003-1,メガフシギバナ,Mega Venusaur,80,100,123,122,120,80,625,くさ,どく,あついしぼう,2.4,155.5,45,7:1,281,70,"特攻+2
特防+1","怪獣
植物",5355,106万,0.875
4,ヒトカゲ,Charmander,39,52,43,60,50,65,309,ほのお,,"もうか
(サンパワー)",0.6,8.5,45,7:1,62,70,素早+1,"怪獣
ドラゴン",5355,106万,0.875
5,リザード,Charmeleon,58,64,58,80,65,80,405,ほのお,,"もうか
(サンパワー)",1.1,19.0,45,7:1,142,70,"特攻+1
素早+1","怪獣
ドラゴン",5355,106万,0.875
6,リザードン,Charizard,78,84,78,109,85,100,534,ほのお,ひこう,"もうか
(サンパワー)",1.7,90.5,45,7:1,240,70,特攻+3,"怪獣
ドラゴン",5355,106万,0.875
006-1,メガリザードンX,Mega Charizard X,78,130,111,130,85,100,634,ほのお,ドラゴン,かたいツメ,1.7,110.5,45,7:1,285,70,特攻+3,"怪獣
ドラゴン",5355,106万,0.875
006-2,メガリザードンY,Mega Charizard Y,78,104,78,159,115,100,634,ほのお,ひこう,ひでり,1.7,100.5,45,7:1,285,70,特攻+3,"怪獣
ドラゴン",5355,106万,0.875
7,ゼニガメ,Squirtle,44,48,65,50,64,43,314,みず,,"げきりゅう
(あめうけざら)",0.5,9.0,45,7:1,63,70,防御+1,"怪獣
水中1",5355,106万,0.875
8,カメール,Wartortle,59,63,80,65,80,58,405,みず,,"げきりゅう
(あめうけざら)",1.0,22.5,45,7:1,142,70,"防御+1
特防+1","怪獣
水中1",5355,106万,0.875
9,カメックス,Blastoise,79,83,100,85,105,78,530,みず,,"げきりゅう
(あめうけざら)",1.6,85.5,45,7:1,239,70,特防+3,"怪獣
水中1",5355,106万,0.875
009-1,メガカメックス,Mega Blastoise,79,103,120,135,115,78,630,みず,,メガランチャー,1.6,101.1,45,7:1,284,70,特防+3,"怪獣
水中1",5355,106万,0.875
10,キャタピー,Caterpie,45,30,35,20,20,45,195,むし,,"りんぷん
(にげあし)",0.3,2.9,255,1:1,39,70,HP+1,虫,4080,100万,0.5
11,トランセル,Metapod,50,20,55,25,25,30,205,むし,,だっぴ,0.7,9.9,120,1:1,72,70,防御+1,虫,4080,100万,0.5
12,バタフリー,Butterfree,60,45,50,90,80,70,395,むし,ひこう,"ふくがん
(いろめがね)",1.1,32.0,45,1:1,178,70,"特攻+2
特防+1",虫,4080,100万,0.5
13,ビードル,Weedle,40,35,30,20,20,50,195,むし,どく,"りんぷん
(にげあし)",0.3,3.2,255,1:1,39,70,素早+1,虫,4080,100万,0.5
14,コクーン,Kakuna,45,25,50,25,25,35,205,むし,どく,だっぴ,0.6,10.0,120,1:1,72,70,防御+2,虫,4080,100万,0.5
15,スピアー,Beedrill,65,90,40,45,80,75,395,むし,どく,"むしのしらせ
(スナイパー)",1.0,29.5,45,1:1,178,70,"攻撃+2
特防+1",虫,4080,100万,0.5
015-1,メガスピアー,Mega Beedrill,65,150,40,15,80,145,495,むし,どく,てきおうりょく,1.4,40.5,45,1:1,223,70,"攻撃+2
特防+1",虫,4080,100万,0.5
16,ポッポ,Pidgey,40,45,40,35,35,56,251,ノーマル,ひこう,"するどいめ
ちどりあし
(はとむね)",0.3,1.8,255,1:1,50,70,素早+1,飛行,4080,106万,0.5
17,ピジョン,Pidgeotto,63,60,55,50,50,71,349,ノーマル,ひこう,"するどいめ
ちどりあし
(はとむね)",1.1,30.0,120,1:1,122,70,素早+2,飛行,4080,106万,0.5
18,ピジョット,Pidgeot,83,80,75,70,70,101,479,ノーマル,ひこう,"するどいめ
ちどりあし
(はとむね)",1.5,39.5,45,1:1,216,70,素早+3,飛行,4080,106万,0.5
018-1,メガピジョット,Mega Pidgeot,83,80,80,135,80,121,579,ノーマル,ひこう,ノーガード,2.2,50.5,45,1:1,261,70,素早+3,飛行,4080,106万,0.5
19,コラッタ,Rattata,30,56,35,25,35,72,253,ノーマル,,"にげあし
こんじょう
(はりきり)",0.3,3.5,255,1:1,51,70,素早+1,陸上,4080,100万,0.5
019-1,コラッタA,Rattata,30,56,35,25,35,72,253,あく,ノーマル,"くいしんぼう
はりきり
(あついしぼう)",0.3,3.8,255,1:1,51,70,素早+1,陸上,4080,100万,0.5
20,ラッタ,Raticate,55,81,60,50,70,97,413,ノーマル,,"にげあし
こんじょう
(はりきり)",0.7,18.5,127,1:1,145,70,素早+2,陸上,4080,100万,0.5
020-1,ラッタA,Raticate,75,71,70,40,80,77,413,あく,ノーマル,"くいしんぼう
はりきり
(あついしぼう)",0.7,25.5,127,1:1,145,70,素早+2,陸上,4080,100万,0.5
21,オニスズメ,Spearow,40,60,30,31,31,70,262,ノーマル,ひこう,"するどいめ
(スナイパー)",0.3,2.0,255,1:1,52,70,素早+1,飛行,4080,100万,0.5
22,オニドリル,Fearow,65,90,65,61,61,100,442,ノーマル,ひこう,"するどいめ
(スナイパー)",1.2,38.0,90,1:1,155,70,素早+2,飛行,4080,100万,0.5
23,アーボ,Ekans,35,60,44,40,54,55,288,どく,,"いかく
だっぴ
(きんちょうかん)",2.0,6.9,255,1:1,58,70,攻撃+1,"陸上
ドラゴン",5355,100万,0.5
24,アーボック,Arbok,60,95,69,65,79,80,448,どく,,"いかく
だっぴ
(きんちょうかん)",3.5,65.0,90,1:1,157,70,攻撃+2,"陸上
ドラゴン",5355,100万,0.5
25,ピカチュウ,Pikachu,35,55,40,50,50,90,320,でんき,,"せいでんき
(ひらいしん)",0.4,6.0,190,1:1,112,70,素早+2,"陸上
妖精",2805,100万,0.5
26,ライチュウ,Raichu,60,90,55,90,80,110,485,でんき,,"せいでんき
(ひらいしん)",0.8,30.0,75,1:1,218,70,素早+3,"陸上
妖精",2805,100万,0.5
026-1,ライチュウA,Raichu,60,85,50,95,85,110,485,でんき,エスパー,サーフテール,0.7,21.0,75,1:1,218,70,素早+3,"陸上
妖精",2805,100万,0.5
27,サンド,Sandshrew,50,75,85,20,30,40,300,じめん,,"すながくれ
(すなかき)",0.6,12.0,255,1:1,60,70,防御+1,陸上,5355,100万,0.5
027-1,サンドA,Sandshrew,50,75,90,10,35,40,300,こおり,はがね,"ゆきがくれ
(ゆきかき)",0.7,40.0,255,1:1,60,70,防御+1,陸上,5355,100万,0.5
28,サンドパン,Sandslash,75,100,110,45,55,65,450,じめん,,"すながくれ
(すなかき)",1.0,29.5,90,1:1,158,70,防御+2,陸上,5355,100万,0.5
028-1,サンドパンA,Sandslash,75,100,120,25,65,65,450,こおり,はがね,"ゆきがくれ
(ゆきかき)",1.2,55.0,90,1:1,158,70,防御+2,陸上,5355,100万,0.5
29,ニドラン♀,Nidoran♀,55,47,52,40,40,41,275,どく,,"どくのトゲ
とうそうしん
(はりきり)",0.4,7.0,235,♀,55,70,HP+1,"怪獣
陸上",5355,106万,0.0
30,ニドリーナ,Nidorina,70,62,67,55,55,56,365,どく,,"どくのトゲ
とうそうしん
(はりきり)",0.8,20.0,120,♀,128,70,HP+2,未発見,5355,106万,0.0
31,ニドクイン,Nidoqueen,90,92,87,75,85,76,505,どく,じめん,"どくのトゲ
とうそうしん
(ちからずく)",1.3,60.0,45,♀,227,70,HP+3,未発見,5355,106万,0.0
32,ニドラン♂,Nidoran♂,46,57,40,40,40,50,273,どく,,"どくのトゲ
とうそうしん
(はりきり)",0.5,9.0,235,♂,55,70,攻撃+1,"怪獣
陸上",5355,106万,1.0
33,ニドリーノ,Nidorino,61,72,57,55,55,65,365,どく,,"どくのトゲ
とうそうしん
(はりきり)",0.9,19.5,120,♂,128,70,攻撃+2,"怪獣
陸上",5355,106万,1.0
34,ニドキング,Nidoking,81,102,77,85,75,85,505,どく,じめん,"どくのトゲ
とうそうしん
(ちからずく)",1.4,62.0,45,♂,227,70,攻撃+3,"怪獣
陸上",5355,106万,1.0
35,ピッピ,Clefairy,70,45,48,60,65,35,323,フェアリー,,"メロメロボディ
マジックガード
(フレンドガード)",0.6,7.5,150,1:3,113,140,HP+2,妖精,2805,80万,0.25
36,ピクシー,Clefable,95,70,73,95,90,60,483,フェアリー,,"メロメロボディ
マジックガード
(てんねん)",1.3,40.0,25,1:3,217,140,HP+3,妖精,2805,80万,0.25
37,ロコン,Vulpix,38,41,40,50,65,65,299,ほのお,,"もらいび
(ひでり)",0.6,9.9,190,1:3,60,70,素早+1,陸上,5355,100万,0.25
037-1,ロコンA,Vulpix,38,41,40,50,65,65,299,こおり,,"ゆきがくれ
(ゆきふらし)",0.6,9.9,190,1:3,60,70,素早+1,陸上,5355,100万,0.25
38,キュウコン,Ninetales,73,76,75,81,100,100,505,ほのお,,"もらいび
(ひでり)",1.1,19.9,75,1:3,177,70,"特防+1
素早+1",陸上,5355,100万,0.25
038-1,キュウコンA,Ninetales,73,67,75,81,100,109,505,こおり,フェアリー,"ゆきがくれ
(ゆきふらし)",1.1,19.9,75,1:3,177,70,素早+2,陸上,5355,100万,0.25
39,プリン,Jigglypuff,115,45,20,45,25,20,270,ノーマル,フェアリー,"メロメロボディ
かちき
(フレンドガード)",0.5,5.5,170,1:3,95,70,HP+2,妖精,2805,80万,0.25
